jogo,time,adversario,tempo,torre,inibidor,barao,dragao,arauto,ama,ouro,lado/status
Jogo 2,LLL,GAM,39:36,11,3,2,3,0,19/11/51,75795,VITÓRIA TIME VERMELHO
Jogo 1,PSG,MS7,28:38,9,2,1,2,1,17/9/47,55303,VITÓRIA TIME AZUL
Jogo 1,MS7,PSG,28:38,4,0,0,2,1,9/17/23,47287,DERROTA TIME VERMELHO
Jogo 2,PSG,MS7,30:21,8,1,1,2,2,13/4/28,57633,VITÓRIA TIME AZUL
Jogo 2,MS7,PSG,30:21,0,0,0,2,0,4/13/8,45632,DERROTA TIME VERMELHO
Jogo 1,GG,BDS,20:24,0,0,0,0,0,2/13/4,30960,DERROTA TIME AZUL
Jogo 1,BDS,GG,20:24,7,1,0,3,2,13/2/28,43443,VITÓRIA TIME VERMELHO
Jogo 2,GG,BDS,34:5,4,0,0,4,2,8/16/9,58937,DERROTA TIME AZUL
Jogo 2,BDS,GG,34:5,8,1,2,1,0,16/8/31,65023,VITÓRIA TIME VERMELHO
Jogo 3,BDS,GG,29:56,10,2,2,4,1,12/1/19,59271,VITÓRIA TIME AZUL
Jogo 3,GG,BDS,29:56,3,0,0,0,1,1/12/1,48770,DERROTA TIME VERMELHO
